Category: All categories

Month,Socially Awesome Awkward Penguin: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,27
2011-04,22
2011-05,17
2011-06,17
2011-07,0
2011-08,0
2011-09,22
2011-10,23
2011-11,21
2011-12,30
2012-01,29
2012-02,69
2012-03,100
2012-04,86
2012-05,74
2012-06,70
2012-07,55
2012-08,77
2012-09,68
2012-10,61
2012-11,75
2012-12,62
2013-01,53
2013-02,78
2013-03,61
2013-04,41
2013-05,33
2013-06,49
2013-07,40
2013-08,29
2013-09,35
2013-10,33
2013-11,32
2013-12,29
2014-01,28
2014-02,30
2014-03,33
2014-04,28
2014-05,21
2014-06,20
2014-07,16
2014-08,15
2014-09,21
2014-10,18
2014-11,10
2014-12,0
2015-01,24
2015-02,16
2015-03,18
2015-04,13
2015-05,19
2015-06,15
2015-07,0
2015-08,0
2015-09,10
2015-10,0
2015-11,16
2015-12,0
2016-01,8
2016-02,12
2016-03,9
2016-04,0
2016-05,0
2016-06,9
2016-07,9
2016-08,0
2016-09,0
2016-10,12
2016-11,10
2016-12,0
2017-01,0
2017-02,8
2017-03,9
2017-04,9
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,12
2018-02,8
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,8
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,9
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
2024-04,0
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,0
2025-01,0
2025-02,1
